Filename,ThreeCycles
adjacencymatrix10.csv,583
adjacencymatrix11.csv,1932
adjacencymatrix12.csv,3731
adjacencymatrix13.csv,529
adjacencymatrix14.csv,278
adjacencymatrix15.csv,124
adjacencymatrix16.csv,3146
adjacencymatrix17.csv,150
adjacencymatrix18.csv,3422
adjacencymatrix19.csv,903
adjacencymatrix20.csv,4119
adjacencymatrix21.csv,5304
adjacencymatrix22.csv,561
adjacencymatrix23.csv,2290
adjacencymatrix24.csv,2765
adjacencymatrix25.csv,3902
adjacencymatrix26.csv,4386
adjacencymatrix27.csv,1261
adjacencymatrix28.csv,289
adjacencymatrix29.csv,125
adjacencymatrix30.csv,2680
adjacencymatrix31.csv,558
adjacencymatrix32.csv,676
adjacencymatrix33.csv,3149
adjacencymatrix34.csv,398
adjacencymatrix35.csv,422
adjacencymatrix36.csv,405
adjacencymatrix37.csv,970
adjacencymatrix38.csv,1474
adjacencymatrix39.csv,1406
adjacencymatrix40.csv,1715
adjacencymatrix41.csv,1407
adjacencymatrix42.csv,653
adjacencymatrix43.csv,4857
adjacencymatrix44.csv,2465
adjacencymatrix45.csv,674
adjacencymatrix46.csv,790
adjacencymatrix47.csv,134
adjacencymatrix48.csv,207
adjacencymatrix49.csv,1462
adjacencymatrix50.csv,1034
adjacencymatrix8.csv,1054
adjacencymatrix9.csv,3724
